Name,Price,Rate,property,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony,city,location,Rate_per_sqft,bedroom,carpet_area_sqft,total_area,Area_Unit,Area,Property_Type,carpet_area(in sqft),Z_Score,total_area(sqft)
"4 BHK Flat for Sale in Vasant Vihar, New Delhi",85000000,21250.0,Parnami Infra,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,2,5.0,3.0,Delhi, Vasant Vihar,21250.0,4,3000.0,4000.0,sqft,3000.0,Flat,3000.0,0.3153538760552866,4000.0
"4 BHK Flat for Sale in Sushant Lok-I, Sector 43, Gurgaon",26500000,9815.0,Dolphin Real Estates,Ready to Move,Ground out of 4,New Property,North - West,Main Road,Freehold,1,4.0,3.0,Gurgaon, Sushant Lok-I,9815.0,4,1500.0,2699.95,sqft,1500.0,Flat,1500.0,-0.13066365930041832,2699.95
"3 BHK Flat for Sale in DLF City Phase 2, Gurgaon",29500000,15245.0,The Unique Realty,Ready to Move,1 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1,3.0,2.0,Gurgaon, DLF City Phase 2,15245.0,3,144.0,1935.06,sqyrd,144.0,Flat,1296.0,0.5771635089449535,1935.06
"3 BHK Flat for Sale in Rohini Sector 24, New Delhi",12100000,10083.0,Iconic Realty,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,1,2.0,1.0,Delhi, Rohini Sector 24,10083.0,3,1100.0,1200.04,sqft,1100.0,Flat,1100.0,-0.12148069013560422,1200.04
"3 BHK Flat for Sale in Rohini Sector 8, New Delhi",25000000,31250.0,Synergy Real Estates,Ready to Move,2 out of 4,New Property,East,Garden/Park,Leasehold,1,3.0,1.0,Delhi, Rohini Sector 8,31250.0,3,750.0,800.0,sqft,750.0,Flat,750.0,0.706537332839464,800.0
"3 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",12700000,8063.0,Essbee Realtors,Poss. by Dec '23,6 out of 26,New Property,North,"Garden/Park, Main Road",Freehold,1,3.0,4.0,Noida, CRC Joyous,8063.0,3,991.0,1575.1,sqft,991.0,Flat,991.0,-0.046776484928588005,1575.1
"3 BHK Flat for Sale in Godrej Nature Plus, Sohna Sector 33, Gurgaon",13500000,8671.0,Investors Home,Poss. by Sep '23,3 out of 3,New Property,South,Main Road,Freehold,2,3.0,3.0,Gurgaon, Godrej Nature Plus,8671.0,3,1100.0,1556.91,sqft,1100.0,Flat,1100.0,-0.27978967780367897,1556.91
"4 BHK Flat for Sale in Luxury Builder Floors, Sushant Lok-I, Sector 43, Gurgaon",35000000,12963.0,Temple Homes Pvt. Ltd.,Ready to Move,2 out of 4,New Property,North,"Garden/Park, Pool",Freehold,4,4.0,4.0,Gurgaon, Luxury Builder Floors,12963.0,4,2200.0,2699.99,sqft,2200.0,Flat,2200.0,0.2796936014061066,2699.99
"5 BHK Flat for Sale in Experion Windchants, Dwarka Expressway, Gurgaon",87500000,10276.0,Shanti Property,Ready to Move,25 out of 25,Resale,West,"Pool, Garden/Park, Main Road",Freehold,3,6.0,6.0,Gurgaon, Experion Windchants,10276.0,5,3200.0,8514.99,sqft,3200.0,Flat,3200.0,-0.07057004520076522,8514.99
"4 BHK Flat for Sale in DLF City Plot Phase 1, DLF City Phase 1, Gurgaon",54900000,15250.0,Makaan Search Realty,Ready to Move,1 out of 4,New Property,North - East,Garden/Park,Freehold,2,5.0,2.0,Gurgaon, DLF City Plot Phase 1,15250.0,4,2700.0,3600.0,sqft,2700.0,Flat,2700.0,0.5778152835013488,3600.0
"4 BHK Flat for Sale in Uppal Southend, Sector 49, Sohna Road, Gurgaon",19900000,6633.0,Worth It Realtors,Ready to Move,4 out of 4,New Property,North,Garden/Park,Freehold,3,4.0,2.0,Gurgaon, Uppal Southend,6633.0,4,5600.0,3000.15,sqft,5600.0,Flat,5600.0,-0.5454529869904318,3000.15
"4 BHK Flat for Sale in Pioneer Presidia, Golf course Extension Road, Gurgaon",71500000,16486.0,Miglani Realtors ,Ready to Move,7 out of 21,Resale,East,Main Road,Freehold,2,3.0,3.0,Gurgaon, Pioneer Presidia,16486.0,4,1900.0,4337.01,sqft,1900.0,Flat,1900.0,0.7389339538422842,4337.01
"4 BHK Flat for Sale in Vipul World, Sector 48, Gurgaon",31000000,6889.0,GRAHA PRAVESH,Ready to Move,3 out of 4,New Property,North,"Garden/Park, Main Road",Freehold,1,4.0,5.0,Gurgaon, Vipul World,6889.0,4,2800.0,4499.93,sqft,2800.0,Flat,2800.0,-0.5120821297029888,4499.93
"5 BHK Villa for Sale in Emaar MGF Marbella, Sector 66 Gurgaon",120000000,18405.0,Dash Services,Ready to Move,Ground out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,2,6.0,2.0,Gurgaon, Emaar MGF Marbella,18405.0,5,1400.0,6519.97,sqft,1400.0,Villa,1400.0,0.9890850285868272,6519.97
"4 BHK Flat for Sale in Luxury Floors, DLF City Phase 2, Gurgaon",57500000,12727.0,House 2 Home Realty ,Ready to Move,2 out of 4,New Property,North - West,Garden/Park,Freehold,2,4.0,2.0,Gurgaon, Luxury Floors,12727.0,4,1800.0,4517.95,sqft,1800.0,Flat,1800.0,0.24892984234424514,4517.95
"4 BHK Flat for Sale in DLF City Phase 2, Gurgaon",41000000,14416.0,Amethyst Landbase LLP,Ready to Move,1 out of 4,Resale,North - East,Garden/Park,Freehold,2,4.0,4.0,Gurgaon, DLF City Phase 2,14416.0,4,1700.0,2844.06,sqft,1700.0,Flat,1700.0,0.4690992874946011,2844.06
"4 BHK Flat for Sale in Uppal Southend, Sector 49, Gurgaon",19500000,6500.0,Proporigin Estate,Ready to Move,4 out of 4,New Property,West,Garden/Park,Leasehold,2,4.0,5.0,Gurgaon, Uppal Southend,6500.0,4,1205.0,3000.0,sqft,1205.0,Flat,1205.0,-0.5627901901905487,3000.0
"4 BHK Flat for Sale in Defence Colony, New Delhi",82500000,33093.0,Investin PRO Realtech Pvt. Ltd.,Poss. by Dec '23,2 out of 4,New Property,North,Garden/Park,Freehold,2,5.0,2.0,Delhi, Defence Colony,33093.0,4,3300.0,2492.97,sqft,3300.0,Flat,3300.0,0.7786324439247878,2492.97
"5 BHK Flat for Sale in Nirala Aspire Phase 4, Sector 16, Greater Noida",21500000,6808.0,Garg Associates,Poss. by Jun '24,12 out of 19,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,5.0,2.0,Noida, Nirala Aspire Phase 4,6808.0,5,2025.0,3158.05,sqft,2025.0,Flat,2025.0,-0.0936622170659471,3158.05
